Height Pressure Rho
3.410708e+04 6.483534e+00 8.352173e-04
3.412165e+04 6.365079e+00 8.241636e-04
3.413614e+04 6.248788e+00 8.132571e-04
3.415056e+04 6.134622e+00 8.024958e-04
3.416491e+04 6.022541e+00 7.918776e-04
3.417918e+04 5.912508e+00 7.814004e-04
3.419338e+04 5.804486e+00 7.710624e-04
3.420751e+04 5.698437e+00 7.608618e-04
3.422157e+04 5.594326e+00 7.507966e-04
3.423555e+04 5.492116e+00 7.408652e-04
3.424946e+04 5.391775e+00 7.310656e-04
3.426330e+04 5.293266e+00 7.213962e-04
3.427707e+04 5.196557e+00 7.118552e-04
3.429077e+04 5.101615e+00 7.024409e-04
3.430440e+04 5.008408e+00 6.931516e-04
3.431797e+04 4.916904e+00 6.839856e-04
3.433146e+04 4.827071e+00 6.749413e-04
3.434488e+04 4.738880e+00 6.660170e-04
3.435823e+04 4.652300e+00 6.572112e-04
3.437152e+04 4.567301e+00 6.485223e-04
3.438473e+04 4.483856e+00 6.399487e-04
3.439788e+04 4.401935e+00 6.314888e-04
3.441097e+04 4.321511e+00 6.231413e-04
3.442398e+04 4.242556e+00 6.149044e-04
3.443693e+04 4.165044e+00 6.067769e-04
3.444981e+04 4.088948e+00 5.987572e-04
3.446263e+04 4.014242e+00 5.908439e-04
3.447538e+04 3.940902e+00 5.830356e-04
3.448806e+04 3.868901e+00 5.753308e-04
3.450068e+04 3.798215e+00 5.677282e-04
3.451324e+04 3.728821e+00 5.602264e-04
3.452573e+04 3.660695e+00 5.528241e-04
3.453816e+04 3.593814e+00 5.455200e-04
3.455052e+04 3.528154e+00 5.383127e-04
3.456282e+04 3.463694e+00 5.312010e-04
3.457506e+04 3.400412e+00 5.241836e-04
3.458723e+04 3.338286e+00 5.172592e-04
3.459935e+04 3.277295e+00 5.104266e-04
3.461140e+04 3.217418e+00 5.036845e-04
3.462338e+04 3.158635e+00 4.970318e-04
3.463531e+04 3.100927e+00 4.904673e-04
3.464718e+04 3.044272e+00 4.839898e-04
3.465898e+04 2.988653e+00 4.775981e-04
3.467072e+04 2.934050e+00 4.712911e-04
3.468241e+04 2.880444e+00 4.650676e-04
3.469403e+04 2.827818e+00 4.589266e-04
3.470559e+04 2.776153e+00 4.528670e-04
3.471710e+04 2.725433e+00 4.468877e-04
3.472854e+04 2.675638e+00 4.409875e-04
3.473993e+04 2.626754e+00 4.351655e-04
3.475126e+04 2.578763e+00 4.294206e-04
3.476253e+04 2.531648e+00 4.237518e-04
3.477374e+04 2.485395e+00 4.181580e-04
3.478490e+04 2.439986e+00 4.126383e-04
3.479599e+04 2.395407e+00 4.071917e-04
3.480703e+04 2.351643e+00 4.018173e-04
3.481802e+04 2.308678e+00 3.965139e-04
